26.01.20 19:00:01 aborted connection, pairingCode: admin
26.01.20 19:00:01 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:00:55 aborted connection, pairingCode: admin
26.01.20 19:00:55 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:01:09 aborted connection, pairingCode: admin
26.01.20 19:01:09 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:02:31 aborted connection, pairingCode: admin
26.01.20 19:02:31 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:02:39 aborted connection, pairingCode: admin
26.01.20 19:02:39 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:04:57 aborted connection, pairingCode: admin
26.01.20 19:04:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:05:00 aborted connection, pairingCode: admin
26.01.20 19:05:00 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:05:08 aborted connection, pairingCode: admin
26.01.20 19:05:08 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:05:10 aborted connection, pairingCode: admin
26.01.20 19:05:10 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:05:43 aborted connection, pairingCode: admin
26.01.20 19:05:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:05:53 aborted connection, pairingCode: admin
26.01.20 19:05:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:06:11 aborted connection, pairingCode: admin
26.01.20 19:06:11 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:06:51 aborted connection, pairingCode: admin
26.01.20 19:06:51 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:07:15 aborted connection, pairingCode: admin
26.01.20 19:07:15 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:07:51 aborted connection, pairingCode: admin
26.01.20 19:07:51 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:14:18 aborted connection, pairingCode: admin
26.01.20 19:14:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:15:30 aborted connection, pairingCode: admin
26.01.20 19:15:30 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.20 19:15:40 aborted connection, pairingCode: admin
26.01.20 19:15:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:16:36 aborted connection, pairingCode: admin
26.01.27 17:16:36 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:16:38 aborted connection, pairingCode: admin
26.01.27 17:16:38 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:29:47 aborted connection, pairingCode: admin
26.01.27 17:29:47 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:47:38 aborted connection, pairingCode: admin
26.01.27 17:47:38 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:49:15 aborted connection, pairingCode: admin
26.01.27 17:49:15 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:52:08 aborted connection, pairingCode: admin
26.01.27 17:52:08 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:52:38 aborted connection, pairingCode: admin
26.01.27 17:52:38 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:54:02 aborted connection, pairingCode: admin
26.01.27 17:54:02 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 17:56:07 aborted connection, pairingCode: admin
26.01.27 17:56:07 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
